Ad_1,Ad_2,Similarity,Manual_Decision,Notes,Text_Ad_1,Text_Ad_2
234,235,0.794,YES,,medecins sans frontieres id doctors without borders pregnant women an or oruhé examines two month ol,or druha examines two month old muhammad jamal admitted to the paediatric ward of ad dahi rural hosp
234,242,0.828,YES,,medecins sans frontieres id doctors without borders pregnant women an or oruhé examines two month ol,be medecins sans frontieres doctors without borders fed edica yemen emergency appeal alison criado p
235,242,0.836,YES,,or druha examines two month old muhammad jamal admitted to the paediatric ward of ad dahi rural hosp,be medecins sans frontieres doctors without borders fed edica yemen emergency appeal alison criado p
237,294,0.753,YES,,create a kinder ee alzheimer s future for > we society people living r j with dementia f x saiget ee,create a kinder future for people living with dementia will you consider leaving a gift in your will
240,243,0.827,YES,,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie,ethiopia tigray emergency appeal give shelter £ could provide a shelter kit giving safety to familie
251,285,0.842,YES,,for learning for confidence for a lifetime leaving a gift in your will can be life changing get your,for learning for confidence for a lifetime leaving a gift in your will can be life changing get your
259,264,0.816,YES,,for learning for confidence for a lifetime a gift in your will could help people with sight loss bui,for learning for confidence for a lifetime a gift in your will could help people with sight loss bui
286,327,0.774,YES,,we believe that every baby lost funding research ls one too saving babies lives manu in pregnancies ,what advice should heh ee age tommu s charity is working hard to reduce miscarriage stillbirth and b
289,306,0.781,YES,,an open letter to guardian readers the people of yemen need your help for more than six years we ve ,an open letter to readers of the i the people of yemen need your help for more than six years we ve 
299,351,0.823,YES,,maternalhealth therunaway backpack crisis in yemen oans tp noper peace prize = y oe gortins covid cr,maternalhealth © therunaway crisisinyemen backpack oans nobel prize = covid crisis inindia without b
307,312,0.769,YES,,distance anywhere beat hunger everywhere choose from half k k warathon marathon put your foot down o,on distance anywher beat hunger everywhere choose from half sk tok marathon marathon put your foot d
307,326,0.759,YES,,distance anywhere beat hunger everywhere choose from half k k warathon marathon put your foot down o,distance anywhere beat hunger everywhere choose from half sk k waratthon stig ook i put your foot do
307,353,0.843,YES,,distance anywhere beat hunger everywhere choose from half k k warathon marathon put your foot down o,beat hunger everywhere choose from half sk k warathon marathon put your foot down on uk hunger and j
312,326,0.824,YES,,on distance anywher beat hunger everywhere choose from half sk tok marathon marathon put your foot d,distance anywhere beat hunger everywhere choose from half sk k waratthon stig ook i put your foot do
312,353,0.769,YES,,on distance anywher beat hunger everywhere choose from half sk tok marathon marathon put your foot d,beat hunger everywhere choose from half sk k warathon marathon put your foot down on uk hunger and j
340,342,0.829,NO,,britishredcross afghanistan is in crisis we need your support readers the humanitarian need is huge ,i ba xnl gse lod m afghanistan is in crisis we need your support guardian readers million people nee
356,357,0.819,YES,,afghanistan appeal show them you care we must help afghan refugees the taliban takeover in afghanist,socom mmoso o a c a afghanistan appeal show them you care we must help afghan refugees the taliban t
356,361,0.801,YES,,afghanistan appeal show them you care we must help afghan refugees the taliban takeover in afghanist,saorn o = mm w o afghanistan appeal show them you care we must help afghan refugees the taliban take
357,361,0.839,YES,,socom mmoso o a c a afghanistan appeal show them you care we must help afghan refugees the taliban t,saorn o = mm w o afghanistan appeal show them you care we must help afghan refugees the taliban take
